Name,Date Visited,my notes,Challenge List,Location,Travel Time,Round Trip Length,Difficulty,HWNC beauty,HWNC photo rating,Solitude (Hiking WNC),HWNC id,Photo Link,CMC Hike No,Book Page,Waterfalls of NC Map Hike#,Direction,Trip Notes,Notes 2,@
Toms Spring Falls (Danial Ridge) (on the way to SRC),,,100,Brevard A WRONG????,1:03,1,E,7,5,,,,62/599,174,53,E,https://www.wncwaterfalls.info/waterfall/149/Toms_Creek_Falls,,
Harper Creek Falls,,,100,Grandfather Mtn B,1:30,3.4,M,7,5,,,https://hikingwnc.com/490-harper-creek-falls/,59,16,,NE,https://www.hikewnc.info/besthikes/wilson-creek/harper-creek-falls,,
Scotsman Falls,,,100,Highlands,2:00,0.2,,8,5,6,301,https://hikingwnc.com/301-scotsman-falls/,,,,SW,,,
Jawbone Falls,,,100,Lake Toxaway,1:15,2.2,,7,5,,,,,,,,,,
Nellies,,,100,Lake Toxaway,1:15,1.6,,7,5,,,,,,,,,,
Spoonauger Falls,,,100,Oconee County SC,1:54,0.6,E,7,5,,,https://hikingwnc.com/182-spoonauger-falls/,518,,,SW,,,
Raven Cliff Falls,,,100,Greenville County SC,1:19,4.4,M,7,4,,,https://hikingwnc.com/652-raven-cliff-falls/,,,,,,,
Little Fall Branch Falls,,,100,Maggie Valley,1:06,0.6,E,3,4,,,,,381,111,W,,,
South Harper Creek Falls,2024-03-30,,100,Grandfather Mtn B,1:30,3.8,M,5,3,,,https://hikingwnc.com/471-south-harper-creek-falls/,230,52,15,NE,https://www.hikewnc.info/besthikes/wilson-creek/harper-creek-falls,,
King(s) Creek Falls,,,100,Oconee County SC,1:59,1.6 OR 6.6,E,4,3,10,359,https://hikingwnc.com/359-kings-creek-falls/,518,,,SSW,see also Saxifrage falls? Not sure why that isn't on the list.,,
Hebron Colony Falls,2024-11-17,,100,,1:50,0.8,M,7,2,,,https://hikingwnc.com/451-hebron-colony-falls/,45,136,,NE,https://www.ncwaterfalls.com/hebron1.htm,Looks like dryer conditions might be best,
Log Hollow Falls,2021-08-29,,100,Brevard,,0.8,E,,,,,,1,167,174,,,,
Looking Glass Falls,2021-08-29,,100,Brevard,,0.1,E,,,,,,163,55,,,,,
Twin Falls,2022-08-22,,100,Brevard,,5,E,,,,,,347/444,160,58,,,,
Moore Cove Falls,2023-01-09,,100,Brevard,1:00,1.4,E,,,,,,256,164,56,SSW,,,
Cedar Rock Falls,2023-06-25,,100,Brevard,1:05,1.6,E,,,,,,172,171,49,SSW,,,
Long Branch Falls,2023-06-25,,100,Brevard,1:00,1.8,E,,,,,,177,166,,SSW,https://www.ncwaterfalls.com/long_branch1.htm,,
Grogan Creek Falls,2024-03-03,,100,Brevard,1:00,1.9,M,,,,,,170,172,50,SSW,,,
High Falls- Little River,,may have been here before -- check?,100,Brevard,1:00,2,E,,,,,,154,41,,SSW,,,
Logging Rd Falls,,,100,Brevard,1:15,2,E,,,,,,1,170,173,SSW,Trailhead,,
Upper Creek Falls,,,100,Grandfather Mtn,1:30,1.2,M,,,,,,47,17,,NE,Instructions talk about being IN the gorge... verify it's the same one. https://www.hikingupward.com/PNF/UpperCreekFalls/,https://www.zacharyrobbins.net/upper-creek-falls-pisgah-national-forest-nc/,
Hunt Fish Falls,October 2023,,100,Grandfather Mtn A,1:30,1.8,E,,,,,,44,57,12,NE,ncwaterfalls.com/huntfish1.htm,http://mrfs.net/blog/?p=730,
Middle Gragg Prong Falls,October 2023,,100,Grandfather Mtn A,1:30,2.4,M,,,,,,44,57,10,NE,ncwaterfalls.com/gragg_prong1.htm,,
Rainbow Falls,2021-09-11,,100,Greenville County SC,,6,M,,,,,,675,,,,,,
Grotto Falls,,,100,GSMNP,2:15,6,M,,,,,,,50,,W,,,
Schoolhouse Falls,2023-06-04,,100,Lake Toxaway,1:15,2.4,E,,,,,,,,,,,,
Flat Creek Falls,,,100,Lake Toxaway,1:15,,,,,,,,,,,,https://www.ncwaterfalls.com/flat_creek1.htm,,
Rainbow Falls- Horsepasture River,,,100,Lake Toxaway,1:15,3.2,M,,,,,,267,266,77,,,,
Whitewater Falls,,,100,Lake Toxaway,1:15,0.4,E,,,,,,332/691,289,80,SW,,,
Linviille Falls,2022-12-31,,100,Linville Falls,1:11,2,E,,,,,,621,77,20,NE,,,
Crabtree Falls,2021-08-07,,100,Little Switzerland,0:45,1.8,E,,,,,,88,22,,NE,,,
Mouse Creek Falls,2024-03-23,,100,Maggie Valley,1:15,4,E,,,,,,383,113,,WNW,,,
Toms Creek Falls,2023-06-19,,100,Marion,,0.8,E,,,,,,115,25,,,,,
Roaring Fork Falls,2021-08-20,,100,Mount Mitchell,0:46,1.4,E,,,,,,95,28,,NE,,,
Setrock Creek Falls,2021-08-20,,100,Mount Mitchell,0:45,1,E,,,,,,96,29,29,NE,,,
Douglas Falls,2023-07-20,,100,Mount Mitchell - Big Ivy,0:46,1.2,E,,,,,,67,103,31,NE,,,
Rileymoore Falls,2023-12-26,,100,Oconee County SC,2:23,2,E,,,,,,,,,SW,,,
Issaquena Falls,2023-12-26,,100,Oconee County SC,2:05,0.2,E,,,,,,518,,,SSW,,,
Station Cove Falls,2023-12-26,,100,Oconee County SC,1:53,2,E,,,,,,,,,SSW,,,
Catawba Falls,2024-06-02,,100,Old Fort,theme_analysis.update_themes,2.4,M,,,,,,117,26,,ESE,,,
Twin Falls,2023-12-26,,100,Pickens County SC,1:43,0.2,M,,,,,,732,,,SSW,,,
Courthouse Falls,2021-09-08,,100,Rosman,,0.8,E,,,,,,460,224,69,,,,
Pearsons Falls,2021-08-14,,100,Saluda,,0.6,E,,,,,,131,,,,,,
Bradley Falls,2022-03-05,,100,Saluda,,1.8,M,,,,,,706,,,,,,
Little Bradley Falls,2022-03-05,,100,Saluda,,2.8,E,,,,,,706,,,,,,
Lower Sam Branch Falls,2023-02-19,,100,Shining Rock,1:00,0.6,E,,,,,,293,198,65,SW,,,
Wash Hollar Falls,2023-10-15,,100,Shining Rock,1:00,0.6,E,,,,,,296,200,66,SW,,,
